Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2013-11-03,Breakfast,735.0,14.0,4.0,0.0,0.0,0.0,70.0,255.6,1590.0,122.8,17.9,63.7,39.6,3.6,54.0,18.6,11.6
2013-11-04,Breakfast,535.0,8.0,2.0,0.0,0.0,0.0,0.0,35.6,1290.0,107.8,12.9,61.7,17.6,3.6,54.0,3.6,3.6
2013-11-04,Dinner,525.0,13.2,3.7,0.0,0.0,0.0,70.0,253.2,730.0,68.0,11.7,34.3,37.2,1.2,18.0,16.2,9.2
2013-11-04,Snacks,540.5,4.3,0.8,1.4,0.5,0.0,0.5,334.4,2099.6,122.4,14.5,53.6,12.1,12.6,81.2,16.0,21.9
2013-11-09,Snacks,740.0,50.5,21.4,0.0,0.0,0.0,0.0,955.9,0.0,31.7,2.7,1.0,41.3,0.0,0.0,118.7,15.4
2013-11-12,Breakfast,270.0,8.6,3.8,1.4,3.0,0.0,4.0,321.6,0.0,42.6,2.6,16.8,5.6,0.0,0.0,0.0,0.0
2013-11-12,Lunch,316.3,6.2,1.7,1.3,2.2,0.0,47.3,46.8,119.1,44.1,0.0,0.0,14.1,1.0,0.0,0.6,3.8
2013-11-12,Snacks,132.3,4.1,1.8,0.7,1.4,0.0,2.0,159.0,0.0,21.5,1.2,8.6,2.3,0.0,0.0,0.0,0.0
2013-11-18,Breakfast,429.6,8.2,3.6,1.4,2.8,0.0,4.0,548.0,75.0,84.0,2.4,56.2,4.6,0.0,0.0,0.1,0.0
2013-11-18,Lunch,841.3,20.2,10.1,3.4,6.7,0.0,316.3,225.5,0.0,87.5,8.1,10.1,74.0,50.5,40.4,16.8,50.5
2013-11-19,Lunch,662.0,50.0,16.0,6.0,22.0,0.0,144.0,130.0,0.0,20.0,7.4,8.0,36.0,20.0,66.0,18.0,30.0
